Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),Share Community Scheme,CHP Enabled,CfD Allocation Round,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity,No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Are they re-applying (New REPD Ref),Are they re-applying (Old REPD Ref) ,Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,Solar Site Area (sqm),Status_Category,geometry
2498,10540833,29/02/2016,E.ON UK,Scroby Sands ,Wind Offshore,,,60.0,,,,,,,2.00,30,,,Operational,Operational,,,"3km NE Great Yarmouth, Norfolk",Offshore,Offshore,England,,656417,311874,DECC (S36),,,,,,01/01/1900,05/03/2001,,,,,,,01/12/2002,,,,,01/10/2003,01/03/2004,,,Operational,POINT (656417 311874)
2499,10823344,01/05/2018,Vattenfall,Thanet ,Wind Offshore,,,300.0,,,,,,,3.00,100,,,Operational,Operational,,,11km off North Foreland Kent,Offshore,Offshore,England,,652658,176367,DECC (S36),,,,,,02/01/1900,08/11/2005,,,,,,,18/12/2006,,,,,01/11/2009,16/09/2010,,,Operational,POINT (652658 176367)
2500,10621539,03/09/2020,Orsted (formerly Dong Energy),Walney 1,Wind Offshore,,,183.6,,,,,,,3.60,51,,,Operational,Operational,,,"14km off Walney Island, Irish Sea",Offshore,Offshore,England,,300833,461449,DECC (S36),,,,,,02/01/1900,31/03/2006,,,,,,,07/11/2007,,,,,10/03/2010,30/05/2011,,,Operational,POINT (300833 461449)
2502,12129424,01/09/2022,Orsted (formerly Dong Energy),Hornsea 2 - Optimus and Breesea,Wind Offshore,,,1320.0,,,AR2,,,1386.00,8.00,165,,,Operational,Operational,,,"The Wash, Sutton Bridge",Offshore,Offshore,England,,632326,457349,The Planning Inspectorate - National Infrastructure,EN010053,,,,,03/01/1900,30/01/2015,,,,,,,16/08/2016,,,,,01/09/2019,31/08/2022,,,Operational,POINT (632326 457349)
2505,12242029,30/04/2019,Vattenfall,European Offshore Wind Deployment Centre (EOWDC) (Aberdeen Bay - Demonstration site),Wind Offshore,,,96.8,,,,,,,8.80,11,,,Operational,Operational,,,,Offshore,Offshore,Scotland,,395693,806148,Scottish Government (S36),,,,,,Demo,31/08/2011,,,,,,,26/03/2013,,,,,07/04/2018,07/09/2018,,,Operational,POINT (395693 806148)
2506,10621539,03/09/2020,Orsted (formerly Dong Energy),Walney 2,Wind Offshore,,,183.6,,,,,,,3.60,51,,,Operational,Operational,,,"14km off Walney Island, Irish Sea",Offshore,Offshore,England,,294836,466177,DECC (S36),,,,,,02/01/1900,31/03/2006,,,,,,,07/11/2007,,,,,09/04/2011,06/04/2012,,,Operational,POINT (294836 466177)
2508,11052612,26/11/2013,Npower,Atlantic Array One - Bristol Channel Zone,Wind Offshore,,,1200.0,,,,,,,5.00,240,,,Planning Application Withdrawn,Application Withdrawn,,,"Between Ilfracombe in North Devon and Swansea, The nearest turbine to land would be 13 miles off shore.",Offshore,Offshore,England,,221400,166500,DECC (S36),,,,,,03/01/1900,12/07/2013,25/11/2013,,,,,,,,,,,,,,,Planned,POINT (221400 166500)
2509,10819488,23/08/2017,Vattenfall,Ormonde Offshore,Wind Offshore,,,150.0,,,,,,,5.00,30,,,Operational,Operational,,,"10km off Barrow on Furness, Heysham",Offshore,Offshore,England,,306000,466842,DECC (S36),,,,,,01/01/1900,12/07/2005,,,,,,,04/09/2008,,,,,01/06/2010,22/02/2012,,,Operational,POINT (306000 466842)
2510,10824744,02/10/2019,Airtricity / Fluor Ltd,Greater Gabbard Wind Farm,Wind Offshore,,,504.0,,,,,,,3.60,140,,,Operational,Operational,,,Near the Suffolk Coast (26km out to sea),Offshore,Offshore,England,,670237,231640,DECC (S36),,,,,,02/01/1900,17/10/2005,,,,,,,20/02/2007,,,,,01/07/2009,07/09/2012,,,Operational,POINT (670237 231640)
2511,10780039,06/11/2018,Siemens Gamesa Renewable Energy,London Array Phase 1,Wind Offshore,,,630.0,,,,,,,3.60,175,,,Operational,Operational,,,12 miles (20km) off the Kent and Essex coasts,Offshore,Offshore,England,,642078,197218,DECC (S36),,,,,,02/01/1900,01/06/2005,,15/12/2006,,,,05/09/2007,05/09/2007,,,,,01/03/2011,06/04/2013,,,Operational,POINT (642078 197218)
2512,10883945,05/11/2019,Equinor,Sheringham Shoal ,Wind Offshore,,,317.0,,,,,,,3.60,88,,,Operational,Operational,,,"between 17 and 22 kilometres off the Norfolk coast, north of the seaside town of Sheringham.",Offshore,Offshore,England,,610671,364425,DECC (S36),,,,,,02/01/1900,30/05/2006,,,,,,,07/08/2008,,,,,30/06/2009,29/10/2012,,,Operational,POINT (610671 364425)
