Site Name,Operator (or Applicant),Status_Category,Development Status (short),Installed Capacity (MWelec),County,Region,X-coordinate,Y-coordinate,longitude,latitude
Twyn Hywel Wind Farm,Bute Energy,Planned,Awaiting Construction,92.4,Mid Glamorgan,Wales,310703,189136,-3.290499284401395,51.59396839695248
Kirkton Energy Farm,Kirkton Wind Farm Limited,Planned,Application Submitted,52.8,Highland,Scotland,309643,967827,-3.556003019839762,58.588998619583684
Sclenteuch Wind Farm - Wind Farm,RES Limited,Planned,Application Submitted,54.0,Strathclyde,Scotland,240700,607500,-4.513052443935042,55.33565843082388
Greystone Knowe Wind Farm - Wind Farm,Coriolis Energy Limited,Planned,Application Submitted,75.0,Borders,Scotland,339300,649300,-2.9681663466811385,55.733276809755054
Mynydd Maen - Wind Farm,RES Limited,Planned,Application Submitted,54.6,Gwent,Wales,328107,196785,-3.040875766559554,51.66522478795552
Gaerwen Wind Farm,RWE Renewables UK Limited,Planned,Application Submitted,59.4,Denbighshire,Wales,302061,340242,-3.4591552956591576,52.950587731612636
Y Bryn Wind Farm,ESB / Coriolis Energy,Planned,Application Submitted,130.0,Neath Port Talbot,Wales,281659,189497,-3.709727936193912,51.59185504995873
Aultmore Forest - Buckie - Windfarm,Vattenfall,Planned,Application Submitted,105.6,Grampian,Scotland,343585,848695,-2.9436208341649315,57.524880804890195
"Knockkippen Wind, Solar & Battery Farm",Falck Renewables / REG Windpower,Planned,Awaiting Construction,60.0,East Ayrshire,Scotland,243650,608770,-4.46730078234636,55.34800686320373
Mid Moile Wind Farm,EnergieKontor UK Limited,Planned,Awaiting Construction,99.4,Dumfries and Galloway,Scotland,206315,569910,-5.028687696036479,54.98601142938863
South Kyle Wind Farm 2,Vattenfall,Planned,Application Submitted,92.4,Strathclyde,Scotland,248060,605848,-4.396236243891658,55.32315749240164
Culachy Wind Farm,Fred Olsen Renewables Limited,Planned,Application Submitted,57.6,Highland,Scotland,239039,808487,-4.6615287421334735,57.13899177532001
Chesters - Millmoor Rig Wind Farm & Battery Energy Storage,ESB Asset Development UK Ltd,Planned,Application Submitted,78.0,Borders,Scotland,363203,608629,-2.5821306170822393,55.37026376132442
Dell Wind Farm 2,Dell Wind Farm Ltd (Coriolis Energy),Planned,Application Submitted,59.4,Highland,Scotland,249820,806535,-4.482395487390329,57.12512515623573
Kellas Wind Farm,E Power Limited,Planned,Application Submitted,55.2,Moray,Scotland,317800,852990,-3.375488431868675,57.55949680654293
Dunside Wind Farm,EDF Energy,Planned,Application Submitted,108.0,Scottish Borders ,Scotland,364788,658172,-2.5634691751255754,55.8155165419482
Bloch Wind Farm & Battery Storage (Solway Bank Extension),Renewable Energy Systems (RES),Planned,Application Submitted,126.0,Dumfries and Galloway,Scotland,331955,580845,-3.068368675954701,55.11730399891437
Glen Ullinish II - Wind Farm,Muirhall Energy Limited,Planned,Application Submitted,310.2,Highland,Scotland,134792,837906,-6.411011895344442,57.35418356523821
Hopsrig Wind Farm,Muirhall Energy Limited,Planned,Application Submitted,85.5,Dumfries and Galloway,Scotland,328347,588531,-3.126869390883973,55.18584736337585
Vale of Leven Wind Farm,Coriolis Energy Limited,Planned,Application Submitted,70.0,Strathclyde,Scotland,246839,672863,-4.45276731113649,55.924380206742214
Cloud Hill Wind Farm,Blue Energy Company / BayWa r.e. UK Limited,Planned,Application Submitted,66.0,Dumfries and Galloway,Scotland,274072,605300,-3.9863252821160553,55.325587544037084
Abhainn Dubh Wind Farm,E Power Limited,Planned,Application Submitted,58.8,Highland,Scotland,177978,856137,-5.7114098873374,57.540693832796144
Earlsburn Avenue - Earlsburn Wind Farm Extension,Naturalis Energy / REG Wind Power / Falck Renewables,Planned,Application Submitted,100.0,Stirling,Scotland,279136,691213,-3.944526657893579,56.098359429692174
Craig Watch - Wind Farm & Battery Storage,Craig Watch Wind Farm Limited,Planned,Application Submitted,72.6,Grampian,Scotland,332299,840059,-3.129628037631128,57.44577343666683
Loch Awe - Eredine Wind Farm,RWE Renewables UK Limited,Planned,Application Submitted,100.0,Strathclyde,Scotland,197330,706490,-5.269304966426183,56.207707769091236
Melvich Bay - Melvich Wind Energy Hub,Belltown Power Limited,Planned,Application Submitted,57.6,Highland,Scotland,288418,964488,-3.919252876232965,58.55409193705439
Bankend Rig III Wind Farm,Wilson Forrest Products Limited,Planned,Application Submitted,66.0,Strathclyde,Scotland,265844,637210,-4.131321162765297,55.60994008015799
Unshinagh Wind Farm Development in Carnlough,Renewable Energy Systems (RES),Planned,Application Submitted,58.8,Co. Armagh,Northern Ireland,142375,571130,-6.0267109622277255,54.96799850404496
Uisenis Wind Farm ,Uisenis Power Limited,Planned,Awaiting Construction,165.0,Islands,Scotland,131738,914940,-6.547407855868813,58.04219453973812
Ben Aketil Wind Farm - Repowered & Extended,Falck Renewables Limited,Planned,Application Submitted,59.4,Highland,Scotland,151835,813841,-6.104435928435865,57.14816790548704
Acheilidh Wind Farm (Previously known as Lairg III),Energiekontor (UK) Limited,Planned,Application Submitted,79.2,Highland,Scotland,207169,924792,-5.2801965524258625,58.16974349356734
Hill of Fare - Hill of Fare Wind Farm & Battery Storage,RES Limited,Planned,Application Submitted,105.6,Grampian,Scotland,371160,797115,-2.47718724369033,57.06416733636591
Shinness Wind Farm,Shinness Wind Farm Limited,Planned,Application Submitted,105.6,Highland,Scotland,253499,915053,-4.48738107266603,58.100163615177195
Leithenwater Wind Energy Hub - Wind Farm,Belltown Power Limited,Planned,Application Submitted,85.8,Scottish Borders,Scotland,325376,640473,-3.1874399645800935,55.65203470407307
Hagshaw Energy Cluster  Western Expansion,3R Energy Solutions Limited,Planned,Application Submitted,130.0,South Lanarkshire ,Scotland,282132,631007,-3.8702588646039215,55.55845408528595
Newlands Hill Wind Energy Hub,Belltown Power Limited,Planned,Application Submitted,136.0,East Lothian,Scotland,360062,664717,-2.639845358337069,55.87395036399879
Strath Oykel Wind Farm,Energiekontor (UK) Limited,Planned,Awaiting Construction,72.6,Highland,Scotland,245115,899174,-4.619023738571654,57.954838123999274
Brunt Hill Wind Farm & Battery Storage,E Power Limited,Planned,Application Submitted,129.6,Tayside,Scotland,308124,723734,-3.490040289291064,56.39689802737023
"Tweed Valley, Southern Uplands - Oliver Forest Wind Farm",Statkraft UK Limited,Planned,Application Submitted,50.4,Borders,Scotland,306040,621476,-3.4881436743890446,55.478040869400154
Glentarken Wind Farm,SSE Renewables Wind Farms UK Ltd,Planned,Application Submitted,104.0,Perth and Kinross,Scotland,265460,729371,-4.183642845454193,56.43727865780896
Lorg Windfarm,RWE Npower Renewables,Planned,Application Submitted,96.0,Strathclyde,Scotland,267619,599928,-4.08542558380374,55.275653030788845
"Penicuik, Moorfoot Hills - Torfichen Wind Farm",RES Limited,Planned,Application Submitted,108.0,Lothian,Scotland,333786,654372,-3.0571885423919456,55.778117783907724
Quantans Hill Wind Farm,Vattenfall Wind Power Limited,Planned,Application Submitted,96.0,Dumfries and Galloway,Scotland,256137,593258,-4.262612753652636,55.212544951608336
Longcroft Wind Farm,Renewable Energy Systems,Planned,Application Submitted,125.4,Borders,Scotland,354410,655930,-2.7286873046509155,55.79450350256904
Cnoc Buidhe Windfarm,Belltown Power Limited,Planned,Application Submitted,191.4,Argyll And Bute,Scotland,171936,620359,-5.605633148463357,55.42390023423034
